Rank,Pokemon,Usage %,Raw,%,Real,%
104,Terrakion,0.55122%,1389,1.161%,1031,1.104%
105,Kabutops,0.54595%,552,0.462%,409,0.438%
106,Garchomp-Mega,0.52071%,2770,2.316%,2112,2.262%
107,Scolipede,0.52033%,1165,0.974%,942,1.009%
108,Arcanine,0.50523%,1823,1.524%,1456,1.559%
109,Infernape,0.50476%,3603,3.013%,2832,3.033%
110,Metagross,0.48349%,1918,1.604%,1511,1.618%
111,Donphan,0.44484%,1603,1.340%,1391,1.490%
112,Galvantula,0.42819%,3319,2.775%,2846,3.048%
113,Tentacruel,0.37046%,2172,1.816%,1690,1.810%
114,Gyarados,0.36290%,2319,1.939%,1788,1.915%
115,Mamoswine,0.33109%,1295,1.083%,1046,1.120%
116,Probopass,0.31376%,135,0.113%,105,0.112%
117,Slowking,0.31106%,777,0.650%,628,0.673%
118,Magneton,0.31105%,242,0.202%,194,0.208%
119,Ditto,0.31031%,1272,1.064%,921,0.986%
120,Xatu,0.30712%,493,0.412%,418,0.448%
121,Venomoth,0.30000%,148,0.124%,108,0.116%
122,Absol-Mega,0.29795%,1084,0.906%,846,0.906%
123,Raikou,0.25322%,1339,1.120%,1019,1.091%
124,Aerodactyl,0.23778%,738,0.617%,644,0.690%
125,Gallade-Mega,0.23678%,2518,2.105%,1883,2.016%
126,Aggron-Mega,0.22998%,890,0.744%,740,0.792%
127,Snorlax,0.22742%,2011,1.682%,1521,1.629%
128,Latios-Mega,0.21166%,1072,0.896%,772,0.827%
129,Lucario,0.20027%,2073,1.733%,1590,1.703%
130,Beedrill-Mega,0.18916%,1509,1.262%,1165,1.248%
131,Dragalge,0.18573%,487,0.407%,376,0.403%
132,Staraptor,0.17015%,1797,1.503%,1408,1.508%
133,Chandelure,0.13941%,2113,1.767%,1626,1.741%
134,Lapras,0.12730%,751,0.628%,532,0.570%
135,Umbreon,0.12364%,2338,1.955%,1723,1.845%
136,Hawlucha,0.10401%,2009,1.680%,1553,1.663%
137,Empoleon,0.10354%,1520,1.271%,1174,1.257%
138,Ninetales,0.10322%,751,0.628%,639,0.684%
139,Camerupt-Mega,0.09703%,265,0.222%,208,0.223%
140,Slurpuff,0.09430%,804,0.672%,556,0.595%
141,Shaymin,0.09312%,176,0.147%,141,0.151%
142,Pidgeot-Mega,0.08875%,1141,0.954%,857,0.918%
143,Vaporeon,0.08809%,1282,1.072%,1008,1.079%
144,Whimsicott,0.08507%,1398,1.169%,1154,1.236%
145,Lilligant,0.08490%,137,0.115%,110,0.118%
146,Rhyperior,0.08454%,655,0.548%,559,0.599%
147,Sharpedo,0.08451%,379,0.317%,273,0.292%
148,Darmanitan,0.07762%,1495,1.250%,1107,1.185%
149,Haxorus,0.07610%,1286,1.075%,912,0.977%
150,Toxicroak,0.07577%,846,0.707%,644,0.690%
151,Omastar,0.07561%,316,0.264%,237,0.254%
152,Machamp,0.07208%,1474,1.233%,1216,1.302%
153,Rotom-Heat,0.07151%,1138,0.952%,870,0.932%
154,Venusaur,0.07098%,1687,1.411%,1199,1.284%
155,Goodra,0.07061%,3044,2.545%,2364,2.532%
156,Tyrantrum,0.07027%,1078,0.901%,803,0.860%
