Rank,Pokemon,Usage %,Raw,%,Real,%
1,Crobat,27.99517%,24148,21.957%,19254,21.933%
2,Flygon,22.82161%,26989,24.540%,21048,23.976%
3,Umbreon,22.70570%,16044,14.588%,12621,14.377%
4,Mimikyu,19.13569%,14194,12.906%,10795,12.297%
5,Registeel,18.62276%,12059,10.965%,10491,11.951%
6,Incineroar,17.87635%,24313,22.107%,20841,23.741%
7,Suicune,17.47679%,7880,7.165%,6301,7.178%
8,Heracross,16.47558%,17312,15.741%,13324,15.178%
9,Togekiss,15.68040%,16726,15.208%,12913,14.710%
10,Raikou,15.57490%,14663,13.333%,11636,13.255%
11,Nidoqueen,15.55789%,12766,11.608%,10676,12.161%
12,Weezing-Galar,14.50014%,10755,9.779%,8828,10.056%
13,Reuniclus,14.33934%,9284,8.442%,7053,8.034%
14,Milotic,12.95034%,17764,16.152%,14673,16.714%
15,Steelix,11.84187%,7099,6.455%,6283,7.157%
16,Celebi,11.63221%,9317,8.472%,7199,8.201%
17,Metagross,11.48487%,20038,18.220%,16604,18.914%
18,Seismitoad,11.36856%,11082,10.077%,9466,10.783%
19,Bronzong,10.84037%,11676,10.617%,10425,11.875%
20,Golisopod,10.26011%,9821,8.930%,8128,9.259%
21,Klefki,9.95954%,11562,10.513%,10257,11.684%
22,Lucario,9.86973%,11840,10.766%,8901,10.139%
23,Xurkitree,9.40350%,12785,11.625%,9988,11.378%
24,Sharpedo,9.14379%,8781,7.984%,6752,7.691%
25,Noivern,9.04458%,9279,8.437%,7244,8.252%
26,Dhelmise,7.86411%,3745,3.405%,3012,3.431%
27,Entei,7.63391%,5305,4.824%,4281,4.877%
28,Gardevoir,7.63213%,10293,9.359%,7824,8.913%
29,Cloyster,7.47935%,13498,12.273%,9965,11.351%
30,Rhyperior,7.40515%,6452,5.867%,5327,6.068%
31,Polteageist,7.35305%,6208,5.645%,4359,4.965%
32,Chandelure,6.79772%,13510,12.284%,10240,11.665%
33,Toxtricity,5.84046%,9147,8.317%,7081,8.066%
34,Roserade,5.30650%,11091,10.085%,8960,10.207%
35,Pangoro,5.10155%,5293,4.813%,4211,4.797%
36,Heliolisk,4.92426%,2745,2.496%,2130,2.426%
37,Arctovish,4.74223%,2275,2.069%,1864,2.123%
38,Quagsire,4.73067%,2113,1.921%,1635,1.862%
39,Sandslash-Alola,4.58143%,2814,2.559%,2208,2.515%
40,Politoed,4.38106%,5491,4.993%,5149,5.865%
41,Porygon2,3.82277%,10136,9.216%,8132,9.263%
42,Espeon,3.81132%,2815,2.560%,2177,2.480%
43,Bewear,3.65305%,2554,2.322%,1960,2.233%
44,Snorlax,3.57595%,2890,2.628%,2302,2.622%
45,Rotom-Mow,3.56784%,3347,3.043%,2865,3.264%
46,Ferroseed,3.53857%,1062,0.966%,980,1.116%
47,Marowak-Alola,3.47942%,7262,6.603%,5655,6.442%
48,Indeedee-F,3.23127%,592,0.538%,471,0.537%
49,Omastar,3.15313%,579,0.526%,432,0.492%
50,Tornadus,3.12722%,4406,4.006%,3277,3.733%
51,Hitmonlee,3.07697%,1669,1.518%,1226,1.397%
52,Kingdra,3.06688%,2402,2.184%,1749,1.992%
53,Gastrodon,2.93519%,4795,4.360%,4039,4.601%
54,Jellicent,2.84876%,1212,1.102%,1045,1.190%
55,Aurorus,2.69762%,1939,1.763%,1779,2.027%
56,Regidrago,2.67309%,2401,2.183%,1667,1.899%
57,Vanilluxe,2.53063%,1144,1.040%,1000,1.139%
58,Abomasnow,2.51404%,1812,1.648%,1504,1.713%
59,Sylveon,2.46352%,2409,2.190%,1895,2.159%
60,Porygon-Z,2.26578%,3483,3.167%,2612,2.975%
61,Vileplume,2.24753%,1911,1.738%,1590,1.811%
62,Vaporeon,2.07086%,2369,2.154%,1907,2.172%
63,Starmie,2.05199%,4151,3.774%,3185,3.628%
64,Toxicroak,2.04011%,3695,3.360%,2790,3.178%
65,Aerodactyl,1.99680%,2232,2.029%,1931,2.200%
66,Sableye,1.98142%,587,0.534%,498,0.567%
67,Guzzlord,1.90017%,614,0.558%,528,0.601%
68,Vikavolt,1.87575%,954,0.867%,787,0.896%
69,Salazzle,1.84188%,2019,1.836%,1602,1.825%
70,Charizard,1.72142%,1309,1.190%,1033,1.177%
71,Claydol,1.63687%,780,0.709%,646,0.736%
72,Passimian,1.60717%,692,0.629%,576,0.656%
73,Doublade,1.60037%,1185,1.077%,948,1.080%
74,Centiskorch,1.55151%,320,0.291%,262,0.298%
75,Goodra,1.51850%,3998,3.635%,3048,3.472%
76,Diancie,1.45162%,2223,2.021%,1839,2.095%
77,Druddigon,1.42654%,1069,0.972%,977,1.113%
78,Froslass,1.42483%,879,0.799%,794,0.904%
79,Hitmontop,1.41617%,3611,3.283%,2904,3.308%
80,Grimmsnarl,1.41208%,1584,1.440%,1252,1.426%
81,Cofagrigus,1.37451%,545,0.496%,469,0.534%
82,Kabutops,1.35146%,686,0.624%,507,0.578%
83,Stakataka,1.33305%,2900,2.637%,2405,2.740%
84,Blastoise,1.33188%,2412,2.193%,1923,2.191%
85,Qwilfish,1.32752%,556,0.506%,486,0.554%
86,Sigilyph,1.27500%,2169,1.972%,1681,1.915%
87,Lanturn,1.22843%,497,0.452%,396,0.451%
88,Sneasel,1.17957%,504,0.458%,402,0.458%
89,Mesprit,1.15512%,241,0.219%,210,0.239%
90,Cresselia,1.07796%,3074,2.795%,2396,2.729%
91,Barbaracle,1.07448%,1196,1.087%,842,0.959%
92,Drapion,1.07269%,1298,1.180%,1085,1.236%
93,Scrafty,1.01010%,537,0.488%,424,0.483%
94,Machamp,0.99450%,1211,1.101%,960,1.094%
95,Galvantula,0.98188%,2732,2.484%,2412,2.748%
96,Araquanid,0.94699%,1189,1.081%,1046,1.192%
97,Indeedee,0.94682%,2386,2.170%,1853,2.111%
98,Slurpuff,0.94102%,4062,3.693%,3139,3.576%
99,Inteleon,0.90364%,963,0.876%,737,0.840%
100,Zoroark,0.78034%,1646,1.497%,713,0.812%
101,Shuckle,0.75222%,1661,1.510%,1519,1.730%
102,Linoone,0.74903%,2360,2.146%,1738,1.980%
103,Dragalge,0.74439%,1674,1.522%,1362,1.551%
104,Ludicolo,0.72357%,2607,2.370%,2023,2.304%
105,Pyukumuku,0.71382%,1282,1.166%,907,1.033%
106,Articuno,0.67718%,343,0.312%,271,0.309%
107,Decidueye,0.67219%,1327,1.207%,1069,1.218%
108,Ninetales,0.67180%,2596,2.360%,2328,2.652%
109,Jolteon,0.66651%,1792,1.629%,1455,1.657%
110,Xatu,0.64567%,1707,1.552%,1375,1.566%
111,Arcanine,0.60499%,1840,1.673%,1467,1.671%
112,Aggron,0.59217%,749,0.681%,632,0.720%
113,Pincurchin,0.56551%,687,0.625%,599,0.682%
114,Talonflame,0.55104%,1476,1.342%,1157,1.318%
115,Escavalier,0.52475%,1693,1.539%,1398,1.592%
116,Whimsicott,0.49591%,1306,1.188%,1060,1.207%
117,Sirfetch'd,0.48276%,860,0.782%,642,0.731%
118,Hitmonchan,0.48197%,398,0.362%,308,0.351%
119,Tsareena,0.47063%,2630,2.391%,2097,2.389%
120,Throh,0.42691%,60,0.055%,52,0.059%
121,Shiftry,0.41655%,581,0.528%,470,0.535%
122,Appletun,0.40654%,239,0.217%,177,0.202%
123,Gigalith,0.40576%,959,0.872%,881,1.004%
124,Braviary,0.39591%,671,0.610%,507,0.578%
125,Lycanroc,0.36708%,509,0.463%,425,0.484%
126,Crustle,0.30275%,223,0.203%,176,0.200%
127,Glastrier,0.28919%,450,0.409%,304,0.346%
128,Comfey,0.27983%,661,0.601%,535,0.609%
129,Cryogonal,0.27468%,243,0.221%,168,0.191%
130,Absol,0.26711%,625,0.568%,490,0.558%
131,Exploud,0.26517%,989,0.899%,710,0.809%
132,Silvally-Ground,0.26308%,1361,1.238%,1090,1.242%
133,Ribombee,0.25090%,1482,1.348%,1345,1.532%
134,Leafeon,0.24709%,883,0.803%,661,0.753%
135,Weezing,0.22989%,449,0.408%,360,0.410%
136,Raichu-Alola,0.22982%,614,0.558%,491,0.559%
137,Malamar,0.22713%,709,0.645%,575,0.655%
138,Exeggutor-Alola,0.20789%,528,0.480%,426,0.485%
139,Scyther,0.20579%,545,0.496%,431,0.491%
140,Sandaconda,0.18471%,369,0.336%,323,0.368%
141,Mantine,0.17399%,1146,1.042%,941,1.072%
142,Silvally-Ghost,0.17297%,193,0.175%,152,0.173%
143,Archeops,0.17270%,715,0.650%,604,0.688%
144,Golurk,0.16257%,1320,1.200%,1039,1.184%
145,Cursola,0.12863%,348,0.316%,269,0.306%
146,Miltank,0.12178%,251,0.228%,209,0.238%
147,Uxie,0.12055%,641,0.583%,602,0.686%
148,Butterfree,0.11961%,388,0.353%,280,0.319%
149,Ninjask,0.11858%,411,0.374%,314,0.358%
150,Rhydon,0.11684%,190,0.173%,152,0.173%
151,Mudsdale,0.11390%,752,0.684%,637,0.726%
152,Basculin,0.10767%,153,0.139%,125,0.142%
153,Exeggutor,0.10238%,471,0.428%,378,0.431%
154,Silvally,0.10128%,156,0.142%,142,0.162%
155,Rapidash,0.10059%,145,0.132%,114,0.130%
156,Magneton,0.09885%,513,0.466%,422,0.481%
157,Cinccino,0.09383%,1040,0.946%,774,0.882%
158,Trevenant,0.09067%,373,0.339%,294,0.335%
159,Copperajah,0.08741%,590,0.536%,485,0.552%
160,Rotom,0.08592%,252,0.229%,217,0.247%
161,Frosmoth,0.07947%,311,0.283%,206,0.235%
162,Tyrantrum,0.07611%,1357,1.234%,1029,1.172%
163,Ditto,0.07032%,1215,1.105%,864,0.984%
164,Beartic,0.06844%,258,0.235%,188,0.214%
165,Piloswine,0.06302%,590,0.536%,490,0.558%
166,Drednaw,0.06196%,238,0.216%,188,0.214%
167,Flapple,0.06112%,163,0.148%,118,0.134%
168,Silvally-Water,0.06008%,78,0.071%,72,0.082%
169,Flareon,0.05986%,567,0.516%,471,0.537%
170,Regirock,0.05535%,280,0.255%,231,0.263%
171,Gallade,0.05531%,282,0.256%,216,0.246%
172,Glaceon,0.05516%,337,0.306%,273,0.311%
173,Grapploct,0.05075%,135,0.123%,110,0.125%
174,Maractus,0.04954%,104,0.095%,75,0.085%
175,Gurdurr,0.04921%,143,0.130%,111,0.126%
176,Clawitzer,0.04709%,427,0.388%,329,0.375%
177,Dugtrio,0.04704%,62,0.056%,55,0.063%
178,Rotom-Fan,0.04380%,75,0.068%,62,0.071%
179,Cradily,0.04313%,366,0.333%,270,0.308%
180,Turtonator,0.04309%,274,0.249%,217,0.247%
181,Orbeetle,0.04144%,180,0.164%,150,0.171%
182,Dugtrio-Alola,0.04092%,277,0.252%,230,0.262%
183,Haunter,0.04048%,118,0.107%,98,0.112%
184,Accelgor,0.04028%,363,0.330%,301,0.343%
185,Liepard,0.04000%,436,0.396%,367,0.418%
