Rank,Pokemon,Usage %,Raw,%,Real,%
1,Yveltal,80.16630%,123061,43.455%,93088,44.626%
2,Necrozma-Dusk-Mane,71.70268%,104019,36.731%,79130,37.935%
3,Eternatus,54.84567%,82748,29.220%,60117,28.820%
4,Calyrex-Shadow,43.03450%,97497,34.428%,66969,32.105%
5,Xerneas,39.03404%,71461,25.234%,50342,24.134%
6,Kyogre,25.07397%,62708,22.143%,47193,22.624%
7,Marshadow,23.19977%,58733,20.739%,40617,19.472%
8,Groudon,19.55692%,35725,12.615%,28031,13.438%
9,Zygarde,16.17900%,28134,9.935%,20479,9.818%
10,Weavile,13.25627%,16227,5.730%,11986,5.746%
11,Zekrom,13.22831%,19946,7.043%,13406,6.427%
12,Ho-Oh,12.54634%,29559,10.438%,22687,10.876%
13,Aerodactyl,8.80544%,9557,3.375%,9188,4.405%
14,Dracovish,8.55499%,33490,11.826%,24551,11.770%
15,Calyrex-Ice,8.43486%,12116,4.278%,8870,4.252%
16,Ferrothorn,8.29309%,24062,8.497%,20291,9.727%
17,Darmanitan-Galar,8.05769%,33650,11.882%,24769,11.874%
18,Landorus-Therian,7.36775%,14036,4.956%,11772,5.643%
19,Blissey,6.72348%,12162,4.295%,9023,4.326%
20,Slurpuff,6.65373%,9887,3.491%,9409,4.511%
21,Shuckle,6.19683%,15306,5.405%,14399,6.903%
22,Excadrill,6.18756%,8589,3.033%,6988,3.350%
23,Porygon2,5.58677%,5518,1.948%,4446,2.131%
24,Hatterene,5.51166%,7030,2.482%,5899,2.828%
25,Rayquaza,5.09380%,17125,6.047%,11951,5.729%
26,Zamazenta-Crowned,4.71539%,10209,3.605%,7572,3.630%
27,Regieleki,4.66124%,17309,6.112%,13172,6.315%
28,Melmetal,4.58310%,6962,2.458%,5319,2.550%
29,Pheromosa,4.46125%,13284,4.691%,10013,4.800%
30,Cloyster,4.08676%,9715,3.431%,7438,3.566%
31,Landorus,3.94742%,12561,4.435%,9317,4.467%
32,Lunala,3.83204%,7887,2.785%,5608,2.688%
33,Magearna,3.82786%,11657,4.116%,8944,4.288%
34,Dialga,3.44880%,11022,3.892%,8681,4.162%
35,Mewtwo,3.05035%,13423,4.740%,9669,4.635%
36,Ditto,2.87027%,10856,3.833%,7398,3.547%
37,Mew,2.58738%,6489,2.291%,5411,2.594%
38,Giratina-Origin,2.51676%,9082,3.207%,6803,3.261%
39,Tyranitar,2.39783%,12859,4.541%,10511,5.039%
40,Urshifu,2.01589%,14696,5.189%,10694,5.127%
41,Toxapex,1.98440%,10953,3.868%,9034,4.331%
42,Palkia,1.95352%,8722,3.080%,6176,2.961%
43,Genesect,1.91304%,9595,3.388%,7105,3.406%
44,Magnezone,1.89814%,4957,1.750%,3674,1.761%
45,Clefable,1.86486%,7818,2.761%,5921,2.839%
46,Froslass,1.73077%,1583,0.559%,1395,0.669%
47,Kyurem-Black,1.70263%,7826,2.763%,5155,2.471%
48,Lugia,1.64533%,12788,4.516%,9106,4.365%
49,Shedinja,1.62671%,5057,1.786%,3478,1.667%
50,Cinderace,1.43884%,30982,10.940%,22715,10.890%
51,Scolipede,1.39352%,1543,0.545%,1299,0.623%
52,Dugtrio,1.18394%,2776,0.980%,2149,1.030%
53,Chansey,1.12188%,3988,1.408%,2975,1.426%
54,Dragapult,0.87705%,12700,4.485%,9077,4.352%
55,Heatran,0.85092%,4484,1.583%,3478,1.667%
56,Barraskewda,0.80670%,4057,1.433%,2831,1.357%
57,Xatu,0.75878%,1111,0.392%,861,0.413%
58,Kyurem-White,0.74227%,7044,2.487%,5073,2.432%
59,Skarmory,0.73614%,2366,0.835%,1992,0.955%
60,Giratina,0.72790%,3858,1.362%,2812,1.348%
61,Solgaleo,0.72095%,2870,1.013%,2145,1.028%
62,Garchomp,0.68302%,12696,4.483%,9424,4.518%
63,Tapu Koko,0.64268%,5320,1.879%,4110,1.970%
64,Reshiram,0.61406%,3754,1.326%,2673,1.281%
65,Umbreon,0.53049%,2009,0.709%,1474,0.707%
66,Gastrodon,0.52802%,2777,0.981%,2033,0.975%
67,Terrakion,0.50360%,793,0.280%,619,0.297%
68,Corviknight,0.48569%,6420,2.267%,4687,2.247%
69,Aegislash,0.44709%,6283,2.219%,4616,2.213%
70,Buzzwole,0.40114%,3151,1.113%,2349,1.126%
71,Grimmsnarl,0.40064%,6816,2.407%,5588,2.679%
72,Audino,0.39443%,418,0.148%,309,0.148%
73,Zarude,0.38444%,1862,0.657%,1356,0.650%
74,Tangrowth,0.38393%,1720,0.607%,1269,0.608%
75,Ninetales-Alola,0.36155%,5132,1.812%,4056,1.944%
76,Scizor,0.36144%,4542,1.604%,3522,1.688%
77,Obstagoon,0.34215%,3349,1.183%,2235,1.071%
78,Bisharp,0.31895%,4268,1.507%,3222,1.545%
79,Tapu Lele,0.31718%,2574,0.909%,1822,0.873%
80,Dracozolt,0.31006%,1690,0.597%,1258,0.603%
81,Ribombee,0.25553%,2113,0.746%,1899,0.910%
82,Rotom-Wash,0.22721%,2077,0.733%,1611,0.772%
83,Accelgor,0.22086%,727,0.257%,648,0.311%
84,Naganadel,0.21021%,5343,1.887%,3813,1.828%
85,Zamazenta,0.20720%,1439,0.508%,1042,0.500%
86,Galvantula,0.20459%,5022,1.773%,4654,2.231%
87,Victini,0.19544%,2382,0.841%,1805,0.865%
88,Seismitoad,0.19246%,2044,0.722%,1622,0.778%
89,Klefki,0.18442%,2258,0.797%,1971,0.945%
90,Pyukumuku,0.18411%,1294,0.457%,926,0.444%
91,Jynx,0.17968%,191,0.067%,136,0.065%
92,Rillaboom,0.16650%,5882,2.077%,4152,1.990%
93,Blacephalon,0.16114%,2362,0.834%,1611,0.772%
94,Quagsire,0.15065%,2823,0.997%,1978,0.948%
95,Necrozma-Dawn-Wings,0.14787%,2312,0.816%,1649,0.791%
96,Hippowdon,0.14556%,2369,0.837%,2027,0.972%
97,Slowbro,0.14119%,2665,0.941%,1958,0.939%
98,Urshifu-Rapid-Strike,0.13273%,5842,2.063%,4224,2.025%
99,Kartana,0.13256%,6624,2.339%,4803,2.303%
100,Carbink,0.12949%,217,0.077%,176,0.084%
101,Swirlix,0.12641%,172,0.061%,168,0.081%
102,Crawdaunt,0.12400%,1209,0.427%,918,0.440%
103,Abomasnow,0.12092%,722,0.255%,568,0.272%
104,Dragonite,0.12049%,6754,2.385%,4864,2.332%
105,Tornadus-Therian,0.11964%,753,0.266%,496,0.238%
106,Tapu Bulu,0.11055%,587,0.207%,428,0.205%
107,Suicune,0.10928%,702,0.248%,519,0.249%
108,Indeedee,0.10873%,531,0.188%,387,0.186%
109,Metagross,0.10599%,3528,1.246%,2617,1.255%
110,Arcanine,0.10314%,1105,0.390%,818,0.392%
111,Steelix,0.08934%,1070,0.378%,825,0.396%
112,Spectrier,0.08024%,1260,0.445%,907,0.435%
113,Jirachi,0.07884%,2321,0.820%,1666,0.799%
114,Glalie,0.07602%,825,0.291%,682,0.327%
115,Incineroar,0.07231%,3967,1.401%,3079,1.476%
116,Zapdos-Galar,0.06726%,1593,0.563%,1017,0.488%
117,Whimsicott,0.06620%,3973,1.403%,3037,1.456%
118,Durant,0.06159%,1384,0.489%,1238,0.593%
119,Azumarill,0.05821%,2813,0.993%,2273,1.090%
120,Slowking,0.05771%,588,0.208%,465,0.223%
121,Zeraora,0.05631%,4529,1.599%,3364,1.613%
122,Kyurem,0.05478%,1051,0.371%,712,0.341%
123,Sylveon,0.05441%,1253,0.442%,892,0.428%
124,Celesteela,0.05313%,1626,0.574%,1222,0.586%
125,Lycanroc,0.05124%,408,0.144%,283,0.136%
126,Mamoswine,0.04842%,1450,0.512%,1071,0.513%
127,Thundurus-Therian,0.04770%,844,0.298%,619,0.297%
128,Togedemaru,0.04691%,2783,0.983%,1987,0.953%
129,Mandibuzz,0.04281%,1096,0.387%,836,0.401%
130,Stakataka,0.04281%,1543,0.545%,1252,0.600%
131,Cryogonal,0.04254%,126,0.044%,89,0.043%
132,Bergmite,0.04253%,72,0.025%,36,0.017%
133,Cresselia,0.04249%,1132,0.400%,836,0.401%
134,Hydreigon,0.03864%,2161,0.763%,1626,0.780%
135,Jellicent,0.03768%,479,0.169%,364,0.175%
136,Azelf,0.03656%,701,0.248%,625,0.300%
137,Blaziken,0.03654%,6617,2.337%,4870,2.335%
138,Sirfetch'd,0.03609%,2527,0.892%,1885,0.904%
139,Diancie,0.03554%,533,0.188%,404,0.194%
140,Avalugg,0.03496%,311,0.110%,213,0.102%
141,Marowak-Alola,0.03461%,1567,0.553%,1181,0.566%
142,Rhydon,0.03459%,202,0.071%,167,0.080%
143,Mimikyu,0.03231%,5793,2.046%,4387,2.103%
144,Volcarona,0.03067%,6529,2.305%,4722,2.264%
145,Kingdra,0.03051%,838,0.296%,593,0.284%
146,Pelipper,0.03026%,2652,0.936%,2243,1.075%
147,Espeon,0.03009%,1405,0.496%,1064,0.510%
148,Thundurus,0.02951%,951,0.336%,713,0.342%
149,Archeops,0.02811%,567,0.200%,409,0.196%
150,Porygon-Z,0.02696%,771,0.272%,506,0.243%
151,Lycanroc-Dusk,0.02502%,1398,0.494%,1070,0.513%
152,Togekiss,0.02468%,4444,1.569%,3273,1.569%
153,Charizard,0.02250%,4003,1.414%,2966,1.422%
154,Dunsparce,0.02221%,280,0.099%,233,0.112%
155,Swampert,0.02217%,2669,0.942%,2176,1.043%
156,Reuniclus,0.02143%,1048,0.370%,754,0.361%
157,Celebi,0.02104%,412,0.145%,290,0.139%
158,Zapdos,0.02095%,3212,1.134%,2432,1.166%
159,Kabutops,0.02046%,303,0.107%,227,0.109%
160,Volcanion,0.01908%,2522,0.891%,1883,0.903%
161,Cradily,0.01859%,559,0.197%,431,0.207%
162,Corsola-Galar,0.01735%,1089,0.385%,854,0.409%
163,Uxie,0.01659%,1105,0.390%,1033,0.495%
164,Tapu Fini,0.01657%,2280,0.805%,1752,0.840%
165,Moltres-Galar,0.01642%,1699,0.600%,1153,0.553%
166,Krookodile,0.01605%,2696,0.952%,2111,1.012%
167,Gengar,0.01582%,7054,2.491%,5158,2.473%
168,Zoroark,0.01386%,2837,1.002%,1262,0.605%
169,Manectric,0.01376%,162,0.057%,124,0.059%
170,Poliwrath,0.01321%,424,0.150%,340,0.163%
171,Milotic,0.01242%,1913,0.676%,1424,0.683%
172,Bronzong,0.01233%,981,0.346%,868,0.416%
173,Nidoking,0.01220%,2050,0.724%,1584,0.759%
174,Lurantis,0.01208%,625,0.221%,426,0.204%
175,Barbaracle,0.01208%,341,0.120%,216,0.104%
176,Zygarde-10%,0.01161%,805,0.284%,588,0.282%
177,Salamence,0.01130%,2633,0.930%,1904,0.913%
178,Morpeko,0.01126%,543,0.192%,363,0.174%
179,Talonflame,0.01027%,930,0.328%,724,0.347%
180,Snorlax,0.01014%,3392,1.198%,2619,1.256%
181,Amoonguss,0.00978%,1853,0.654%,1360,0.652%
182,Slowking-Galar,0.00966%,1257,0.444%,906,0.434%
183,Appletun,0.00964%,262,0.093%,183,0.088%
184,Kommo-o,0.00958%,2226,0.786%,1643,0.788%
185,Weezing-Galar,0.00946%,619,0.219%,485,0.233%
186,Latios,0.00932%,1017,0.359%,704,0.337%
187,Lucario,0.00912%,4109,1.451%,3061,1.467%
188,Flapple,0.00872%,111,0.039%,89,0.043%
189,Alakazam,0.00856%,2013,0.711%,1452,0.696%
190,Rotom-Heat,0.00855%,1160,0.410%,849,0.407%
191,Nihilego,0.00841%,1502,0.530%,1192,0.571%
192,Conkeldurr,0.00825%,1334,0.471%,967,0.464%
193,Blastoise,0.00789%,1983,0.700%,1413,0.677%
194,Cottonee,0.00778%,1953,0.690%,1359,0.652%
195,Venusaur,0.00758%,3041,1.074%,2270,1.088%
196,Regirock,0.00740%,332,0.117%,240,0.115%
197,Gyarados,0.00721%,3016,1.065%,2277,1.092%
198,Darmanitan,0.00686%,1005,0.355%,770,0.369%
199,Miltank,0.00637%,397,0.140%,300,0.144%
200,Runerigus,0.00636%,362,0.128%,318,0.152%
201,Lopunny,0.00632%,547,0.193%,393,0.188%
202,Toxtricity,0.00621%,1600,0.565%,1175,0.563%
203,Rhyperior,0.00593%,808,0.285%,633,0.303%
204,Registeel,0.00580%,720,0.254%,574,0.275%
205,Flygon,0.00570%,829,0.293%,654,0.314%
206,Entei,0.00526%,475,0.168%,356,0.171%
