Rank,Pokemon,Usage %,Raw,%,Real,%
106,Marowak,0.50855%,736,0.547%,622,0.573%
107,Slowpoke,0.47937%,459,0.341%,359,0.331%
108,Rotom-Fan,0.46857%,903,0.671%,744,0.686%
109,Piloswine,0.46505%,759,0.564%,663,0.611%
110,Cursola,0.42820%,1355,1.008%,1126,1.038%
111,Cofagrigus,0.41709%,1066,0.793%,930,0.857%
112,Musharna,0.41519%,627,0.466%,441,0.407%
113,Silvally-Dark,0.40512%,781,0.581%,623,0.574%
114,Vibrava,0.38385%,81,0.060%,64,0.059%
115,Rapidash,0.37689%,1078,0.802%,851,0.784%
116,Boltund,0.35934%,1930,1.435%,1424,1.313%
117,Appletun,0.35492%,844,0.628%,654,0.603%
118,Eldegoss,0.35353%,1015,0.755%,835,0.770%
119,Klinklang,0.33700%,446,0.332%,365,0.336%
120,Gurdurr,0.32669%,1028,0.764%,845,0.779%
121,Roselia,0.31609%,174,0.129%,147,0.136%
122,Silvally-Ground,0.31299%,390,0.290%,318,0.293%
123,Dugtrio-Alola,0.31131%,1041,0.774%,901,0.831%
124,Flapple,0.29958%,1296,0.964%,972,0.896%
125,Dugtrio,0.29099%,995,0.740%,814,0.750%
126,Morpeko,0.28528%,1421,1.057%,1037,0.956%
127,Silvally-Rock,0.27967%,182,0.135%,151,0.139%
128,Sandaconda,0.27472%,965,0.718%,824,0.760%
129,Silvally-Water,0.26060%,667,0.496%,545,0.502%
130,Liepard,0.25851%,1157,0.860%,898,0.828%
131,Silvally,0.25311%,417,0.310%,337,0.311%
132,Ludicolo,0.20811%,433,0.322%,325,0.300%
133,Pikachu,0.19854%,286,0.213%,217,0.200%
134,Kangaskhan,0.19308%,649,0.483%,560,0.516%
135,Pinsir,0.18925%,715,0.532%,561,0.517%
136,Lunatone,0.18894%,348,0.259%,266,0.245%
137,Crustle,0.17843%,648,0.482%,522,0.481%
138,Flareon,0.17802%,1093,0.813%,878,0.809%
139,Perrserker,0.16824%,561,0.417%,456,0.420%
140,Malamar,0.16820%,1838,1.367%,1465,1.350%
141,Clefairy,0.15812%,634,0.471%,501,0.462%
142,Falinks,0.14956%,421,0.313%,283,0.261%
143,Sandslash,0.14660%,560,0.416%,489,0.451%
144,Thievul,0.14559%,742,0.552%,603,0.556%
145,Golduck,0.14143%,769,0.572%,629,0.580%
146,Raboot,0.14082%,642,0.477%,529,0.488%
147,Orbeetle,0.13842%,808,0.601%,638,0.588%
148,Hippopotas,0.13479%,131,0.097%,125,0.115%
149,Stoutland,0.13251%,154,0.115%,118,0.109%
150,Sliggoo,0.12763%,231,0.172%,184,0.170%
151,Scyther,0.12616%,175,0.130%,134,0.124%
152,Kadabra,0.11991%,623,0.463%,479,0.442%
153,Rapidash-Galar,0.11446%,515,0.383%,373,0.344%
154,Politoed,0.11322%,1668,1.240%,1339,1.234%
155,Eiscue,0.09884%,344,0.256%,262,0.242%
156,Octillery,0.09872%,250,0.186%,208,0.192%
157,Pyukumuku,0.09703%,598,0.445%,458,0.422%
158,Hitmonchan,0.09225%,730,0.543%,590,0.544%
159,Dusknoir,0.08593%,830,0.617%,677,0.624%
160,Shuckle,0.08246%,1596,1.187%,1429,1.317%
161,Gourgeist-Super,0.07760%,524,0.390%,439,0.405%
162,Stunfisk,0.07673%,204,0.152%,175,0.161%
163,Trevenant,0.07163%,603,0.448%,445,0.410%
164,Dusclops,0.07124%,650,0.483%,522,0.481%
165,Mr. Mime,0.07080%,285,0.212%,236,0.218%
166,Glaceon,0.07060%,613,0.456%,470,0.433%
167,Hattrem,0.06715%,190,0.141%,158,0.146%
168,Persian-Alola,0.06391%,626,0.465%,523,0.482%
169,Unfezant,0.06348%,637,0.474%,538,0.496%
170,Meowstic,0.06224%,615,0.457%,526,0.485%
171,Drilbur,0.06215%,21,0.016%,20,0.018%
172,Vespiquen,0.05927%,161,0.120%,125,0.115%
173,Beartic,0.05915%,509,0.378%,392,0.361%
174,Skuntank,0.05228%,457,0.340%,378,0.348%
175,Copperajah,0.05162%,193,0.144%,163,0.150%
176,Noctowl,0.04534%,434,0.323%,326,0.301%
177,Wartortle,0.04465%,265,0.197%,222,0.205%
178,Maractus,0.04395%,343,0.255%,278,0.256%
179,Shedinja,0.04332%,317,0.236%,239,0.220%
180,Silvally-Flying,0.04135%,339,0.252%,291,0.268%
181,Shiinotic,0.04110%,146,0.109%,117,0.108%
182,Rockruff,0.04013%,3,0.002%,3,0.003%
183,Throh,0.03747%,181,0.135%,123,0.113%
184,Greedent,0.03588%,335,0.249%,233,0.215%
185,Mr. Mime-Galar,0.03573%,211,0.157%,162,0.149%
186,Persian,0.03276%,371,0.276%,341,0.314%
187,Heatmor,0.03229%,247,0.184%,200,0.184%
188,Farfetch'd,0.03176%,165,0.123%,135,0.124%
189,Lapras,0.03094%,558,0.415%,413,0.381%
190,Whirlipede,0.03056%,78,0.058%,65,0.060%
191,Fraxure,0.03001%,185,0.138%,130,0.120%
192,Silvally-Grass,0.02878%,54,0.040%,45,0.041%
193,Silvally-Fighting,0.02750%,29,0.022%,20,0.018%
194,Duosion,0.02354%,150,0.112%,105,0.097%
195,Wigglytuff,0.02343%,192,0.143%,141,0.130%
196,Drakloak,0.02269%,129,0.096%,95,0.088%
197,Dubwool,0.02232%,321,0.239%,245,0.226%
198,Mr. Rime,0.02195%,557,0.414%,407,0.375%
199,Marill,0.02138%,65,0.048%,48,0.044%
200,Beheeyem,0.01867%,209,0.155%,160,0.147%
201,Krokorok,0.01812%,104,0.077%,95,0.088%
202,Mawile,0.01713%,179,0.133%,148,0.136%
203,Raichu,0.01675%,353,0.262%,277,0.255%
204,Charmeleon,0.01636%,23,0.017%,13,0.012%
205,Farfetch'd-Galar,0.01546%,12,0.009%,10,0.009%
206,Munchlax,0.01279%,105,0.078%,83,0.077%
207,Silvally-Electric,0.01240%,118,0.088%,88,0.081%
208,Dedenne,0.01234%,204,0.152%,156,0.144%
