Rank,Pokemon,Usage %,Raw,%,Real,%
1,Mewtwo,90.24486%,1159,62.716%,945,65.187%
2,Snorlax,82.62943%,926,50.108%,791,54.564%
3,Mew,66.14127%,875,47.348%,616,42.493%
4,Lugia,46.97566%,934,50.541%,639,44.079%
5,Zapdos,46.91723%,491,26.569%,375,25.868%
6,Forretress,37.20712%,370,20.022%,331,22.833%
7,Tyranitar,36.03002%,533,28.842%,408,28.144%
8,Cloyster,34.42313%,258,13.961%,217,14.969%
9,Ho-Oh,27.51794%,599,32.413%,485,33.456%
10,Jolteon,21.36151%,140,7.576%,113,7.795%
11,Steelix,19.56403%,316,17.100%,250,17.245%
12,Golem,15.74919%,175,9.470%,139,9.588%
13,Raikou,13.37374%,233,12.608%,210,14.486%
14,Blissey,11.78457%,195,10.552%,154,10.623%
15,Skarmory,10.41879%,149,8.063%,120,8.278%
16,Vaporeon,7.47348%,39,2.110%,34,2.345%
17,Heracross,6.40152%,152,8.225%,115,7.933%
18,Gengar,4.76175%,184,9.957%,144,9.933%
19,Rhydon,3.37719%,26,1.407%,22,1.518%
20,Celebi,2.89249%,420,22.727%,320,22.074%
21,Marowak,2.64086%,75,4.058%,61,4.208%
22,Miltank,2.15522%,93,5.032%,68,4.691%
23,Kingdra,2.15492%,78,4.221%,68,4.691%
24,Espeon,1.72474%,47,2.543%,37,2.552%
25,Muk,1.29839%,22,1.190%,17,1.173%
26,Umbreon,1.15538%,100,5.411%,82,5.656%
27,Starmie,0.90362%,53,2.868%,37,2.552%
28,Exeggutor,0.76942%,63,3.409%,46,3.173%
29,Machamp,0.71166%,91,4.924%,69,4.760%
30,Suicune,0.41270%,121,6.548%,90,6.208%
31,Jynx,0.09479%,42,2.273%,37,2.552%
32,Alakazam,0.08417%,49,2.652%,35,2.414%
33,Porygon2,0.08360%,20,1.082%,15,1.035%
34,Gyarados,0.07771%,29,1.569%,24,1.656%
35,Ampharos,0.07721%,49,2.652%,45,3.104%
36,Typhlosion,0.07715%,81,4.383%,67,4.622%
37,Togetic,0.07715%,13,0.703%,11,0.759%
38,Sudowoodo,0.07715%,11,0.595%,10,0.690%
39,Scizor,0.06801%,56,3.030%,48,3.311%
40,Houndoom,0.05602%,54,2.922%,41,2.828%
41,Aerodactyl,0.02454%,24,1.299%,18,1.242%
42,Misdreavus,0.01723%,34,1.840%,28,1.931%
43,Dragonite,0.00490%,82,4.437%,57,3.932%
44,Noctowl,0.00165%,12,0.649%,10,0.690%
45,Electrode,0.00115%,23,1.245%,20,1.380%
46,Victreebel,0.00110%,20,1.082%,17,1.173%
47,Ninetales,0.00109%,23,1.245%,20,1.380%
48,Octillery,0.00109%,9,0.487%,9,0.621%
49,Beedrill,0.00057%,14,0.758%,10,0.690%
50,Pidgeot,0.00056%,13,0.703%,11,0.759%
51,Fearow,0.00024%,20,1.082%,17,1.173%
52,Mantine,0.00024%,7,0.379%,6,0.414%
53,Shuckle,0.00024%,13,0.703%,13,0.897%
54,Meganium,0.00024%,32,1.732%,24,1.656%
55,Raichu,0.00006%,18,0.974%,14,0.966%
56,Lanturn,0.00006%,9,0.487%,9,0.621%
57,Electabuzz,0.00006%,16,0.866%,12,0.828%
58,Magneton,0.00006%,12,0.649%,12,0.828%
59,Pikachu,0.00001%,41,2.219%,28,1.931%
60,Vileplume,0.00001%,15,0.812%,13,0.897%
61,Tangela,0.00001%,8,0.433%,6,0.414%
62,Bellossom,0.00001%,6,0.325%,6,0.414%
63,Ivysaur,0.00001%,3,0.162%,2,0.138%
64,Venomoth,0.00001%,11,0.595%,8,0.552%
65,Parasect,0.00001%,12,0.649%,11,0.759%
66,Weezing,0.00001%,9,0.487%,8,0.552%
67,Golbat,0.00001%,1,0.054%,1,0.069%
68,Growlithe,0.00000%,1,0.054%,1,0.069%
69,Geodude,0.00000%,1,0.054%,1,0.069%
70,Hoothoot,0.00000%,1,0.054%,1,0.069%
71,Goldeen,0.00000%,1,0.054%,1,0.069%
72,Hoppip,0.00000%,2,0.108%,1,0.069%
73,Grimer,0.00000%,1,0.054%,1,0.069%
74,Hypno,0.00000%,27,1.461%,22,1.518%
75,Girafarig,0.00000%,9,0.487%,8,0.552%
76,Slowking,0.00000%,8,0.433%,8,0.552%
77,Persian,0.00000%,9,0.487%,7,0.483%
78,Dugtrio,0.00000%,17,0.920%,16,1.104%
79,Nidoking,0.00000%,91,4.924%,68,4.691%
80,Arcanine,0.00000%,33,1.786%,29,2.000%
81,Granbull,0.00000%,16,0.866%,14,0.966%
82,Hitmontop,0.00000%,13,0.703%,12,0.828%
83,Poliwrath,0.00000%,21,1.136%,20,1.380%
84,Lickitung,0.00000%,4,0.216%,4,0.276%
85,Smeargle,0.00000%,17,0.920%,14,0.966%
86,Dodrio,0.00000%,10,0.541%,7,0.483%
87,Donphan,0.00000%,10,0.541%,8,0.552%
88,Furret,0.00000%,10,0.541%,8,0.552%
89,Mr. Mime,0.00000%,7,0.379%,7,0.483%
90,Yanma,0.00000%,7,0.379%,4,0.276%
91,Politoed,0.00000%,4,0.216%,2,0.138%
92,Butterfree,0.00000%,30,1.623%,25,1.725%
93,Nidoqueen,0.00000%,16,0.866%,15,1.035%
94,Jumpluff,0.00000%,21,1.136%,13,0.897%
95,Clefable,0.00000%,13,0.703%,11,0.759%
96,Magcargo,0.00000%,16,0.866%,14,0.966%
97,Kingler,0.00000%,12,0.649%,9,0.621%
98,Ariados,0.00000%,16,0.866%,15,1.035%
99,Corsola,0.00000%,2,0.108%,1,0.069%
100,Azumarill,0.00000%,10,0.541%,8,0.552%
101,Ledian,0.00000%,16,0.866%,13,0.897%
102,Crobat,0.00000%,17,0.920%,14,0.966%
103,Primeape,0.00000%,19,1.028%,18,1.242%
104,Magmar,0.00000%,8,0.433%,6,0.414%
105,Sunflora,0.00000%,10,0.541%,8,0.552%
106,Tentacruel,0.00000%,19,1.028%,16,1.104%
107,Moltres,0.00000%,31,1.677%,28,1.931%
108,Delibird,0.00000%,5,0.271%,5,0.345%
109,Unown,0.00000%,4,0.216%,2,0.138%
110,Kadabra,0.00000%,1,0.054%,1,0.069%
111,Kangaskhan,0.00000%,7,0.379%,6,0.414%
112,Hitmonlee,0.00000%,18,0.974%,16,1.104%
113,Wobbuffet,0.00000%,11,0.595%,11,0.759%
114,Diglett,0.00000%,1,0.054%,1,0.069%
115,Gligar,0.00000%,8,0.433%,6,0.414%
116,Farfetch'd,0.00000%,7,0.379%,6,0.414%
117,Ditto,0.00000%,7,0.379%,5,0.345%
118,Lapras,0.00000%,24,1.299%,20,1.380%
119,Raticate,0.00000%,6,0.325%,6,0.414%
120,Houndour,0.00000%,2,0.108%,2,0.138%
121,Slowbro,0.00000%,13,0.703%,10,0.690%
122,Sandslash,0.00000%,8,0.433%,8,0.552%
123,Omastar,0.00000%,10,0.541%,9,0.621%
124,Venusaur,0.00000%,37,2.002%,32,2.207%
125,Articuno,0.00000%,22,1.190%,16,1.104%
126,Blastoise,0.00000%,30,1.623%,21,1.449%
127,Pinsir,0.00000%,6,0.325%,6,0.414%
128,Tauros,0.00000%,15,0.812%,10,0.690%
129,Piloswine,0.00000%,15,0.812%,12,0.828%
130,Arbok,0.00000%,9,0.487%,8,0.552%
131,Wartortle,0.00000%,1,0.054%,1,0.069%
132,Wigglytuff,0.00000%,14,0.758%,14,0.966%
133,Chansey,0.00000%,15,0.812%,10,0.690%
134,Tyrogue,0.00000%,1,0.054%,1,0.069%
135,Slugma,0.00000%,1,0.054%,0,0.000%
136,Squirtle,0.00000%,2,0.108%,1,0.069%
137,Skiploom,0.00000%,1,0.054%,1,0.069%
138,Swinub,0.00000%,1,0.054%,1,0.069%
139,Totodile,0.00000%,2,0.108%,2,0.138%
140,Golduck,0.00000%,13,0.703%,13,0.897%
141,Chikorita,0.00000%,3,0.162%,3,0.207%
142,Scyther,0.00000%,13,0.703%,11,0.759%
143,Kabutops,0.00000%,10,0.541%,10,0.690%
144,Feraligatr,0.00000%,25,1.353%,19,1.311%
145,Gastly,0.00000%,1,0.054%,1,0.069%
146,Quagsire,0.00000%,17,0.920%,16,1.104%
147,Cubone,0.00000%,1,0.054%,1,0.069%
148,Bayleef,0.00000%,1,0.054%,1,0.069%
149,Smoochum,0.00000%,1,0.054%,1,0.069%
150,Ursaring,0.00000%,16,0.866%,15,1.035%
151,Haunter,0.00000%,1,0.054%,0,0.000%
152,Murkrow,0.00000%,11,0.595%,10,0.690%
153,Aipom,0.00000%,8,0.433%,3,0.207%
154,Machoke,0.00000%,1,0.054%,1,0.069%
155,Rapidash,0.00000%,15,0.812%,15,1.035%
156,Seadra,0.00000%,1,0.054%,1,0.069%
157,Jigglypuff,0.00000%,1,0.054%,1,0.069%
158,Charmander,0.00000%,1,0.054%,1,0.069%
159,Pichu,0.00000%,1,0.054%,1,0.069%
160,Flareon,0.00000%,10,0.541%,8,0.552%
161,Magby,0.00000%,1,0.054%,1,0.069%
162,Stantler,0.00000%,3,0.162%,1,0.069%
163,Xatu,0.00000%,10,0.541%,9,0.621%
164,Charizard,0.00000%,56,3.030%,48,3.311%
165,Seaking,0.00000%,6,0.325%,3,0.207%
166,Dewgong,0.00000%,11,0.595%,10,0.690%
167,Hitmonchan,0.00000%,5,0.271%,5,0.345%
168,Qwilfish,0.00000%,11,0.595%,9,0.621%
169,Cyndaquil,0.00000%,4,0.216%,4,0.276%
170,Entei,0.00000%,16,0.866%,10,0.690%
171,Dunsparce,0.00000%,3,0.162%,2,0.138%
172,Onix,0.00000%,1,0.054%,1,0.069%
173,Clefairy,0.00000%,2,0.108%,2,0.138%
174,Sneasel,0.00000%,9,0.487%,7,0.483%
