Rank,Pokemon,Usage %,Raw,%,Real,%
1,Zacian-Crowned,65.83677%,144232,36.331%,100439,36.202%
2,Eternatus,50.35290%,84578,21.305%,59590,21.478%
3,Necrozma-Dusk-Mane,40.94454%,49137,12.377%,35831,12.915%
4,Lunala,34.32465%,41225,10.384%,29149,10.506%
5,Marshadow,23.24441%,83241,20.968%,56910,20.512%
6,Ditto,21.10674%,36457,9.183%,24471,8.820%
7,Quagsire,15.52454%,14007,3.528%,10764,3.880%
8,Dracovish,14.33495%,74833,18.850%,52123,18.787%
9,Corviknight,13.64486%,38472,9.691%,26654,9.607%
10,Tyranitar,12.83831%,19411,4.889%,15273,5.505%
11,Excadrill,12.78675%,29080,7.325%,22149,7.983%
12,Pelipper,12.36396%,13571,3.418%,11940,4.304%
13,Reshiram,11.68715%,27217,6.856%,18734,6.752%
14,Drednaw,11.28008%,9916,2.498%,7641,2.754%
15,Melmetal,10.43214%,46525,11.719%,34040,12.269%
16,Darmanitan-Galar,10.41066%,69766,17.574%,46625,16.805%
17,Volcarona,9.64417%,21822,5.497%,14831,5.346%
18,Mandibuzz,9.34190%,10370,2.612%,7393,2.665%
19,Kyurem-Black,8.80931%,22036,5.551%,13880,5.003%
20,Urshifu,8.28898%,22866,5.760%,15982,5.760%
21,Chansey,8.13778%,11820,2.977%,8240,2.970%
22,Magearna,8.09218%,11980,3.018%,8739,3.150%
23,Mew,7.99796%,20036,5.047%,15691,5.656%
24,Skarmory,7.57874%,9425,2.374%,7924,2.856%
25,Cinderace,7.56118%,72058,18.151%,51273,18.481%
26,Mewtwo,7.21696%,44937,11.319%,30191,10.882%
27,Torkoal,7.08706%,11650,2.935%,10575,3.812%
28,Charizard,6.65327%,34960,8.806%,26184,9.438%
29,Kyurem-White,6.62294%,23551,5.932%,15031,5.418%
30,Blissey,5.65634%,6480,1.632%,4535,1.635%
31,Toxapex,5.63947%,20698,5.214%,16116,5.809%
32,Ferrothorn,4.95554%,25759,6.489%,20769,7.486%
33,Zekrom,4.57786%,19774,4.981%,13451,4.848%
34,Grimmsnarl,4.52747%,20044,5.049%,15317,5.521%
35,Dugtrio,4.51807%,7095,1.787%,5227,1.884%
36,Urshifu-Rapid-Strike,4.27514%,25253,6.361%,17855,6.436%
37,Dragapult,4.20137%,47945,12.077%,32351,11.660%
38,Gyarados,3.95644%,15136,3.813%,10807,3.895%
39,Gothitelle,3.64338%,4295,1.082%,2843,1.025%
40,Shuckle,3.27971%,16813,4.235%,15088,5.438%
41,Scolipede,3.10042%,11706,2.949%,9612,3.464%
42,Blastoise,2.53494%,18365,4.626%,12959,4.671%
43,Hatterene,2.48356%,13412,3.378%,9589,3.456%
44,Dubwool,2.45774%,4545,1.145%,3365,1.213%
45,Rillaboom,2.35499%,25186,6.344%,16878,6.083%
46,Seismitoad,2.26400%,6849,1.725%,5261,1.896%
47,Xatu,2.25648%,1871,0.471%,1207,0.435%
48,Rotom-Wash,2.22923%,6527,1.644%,4874,1.757%
49,Indeedee-F,2.10795%,2387,0.601%,1538,0.554%
50,Galvantula,2.09820%,13302,3.351%,12170,4.386%
51,Zamazenta,1.97026%,5492,1.383%,3752,1.352%
52,Zamazenta-Crowned,1.90116%,22647,5.705%,14533,5.238%
53,Arcanine,1.85910%,6037,1.521%,4527,1.632%
54,Barraskewda,1.80816%,4617,1.163%,3187,1.149%
55,Zacian,1.71124%,3838,0.967%,2685,0.968%
56,Salazzle,1.64168%,4166,1.049%,3012,1.086%
57,Tangrowth,1.48885%,3554,0.895%,2492,0.898%
58,Clefable,1.45252%,13320,3.355%,8452,3.046%
59,Mudsdale,1.31098%,1463,0.369%,1145,0.413%
60,Polteageist,1.29667%,8367,2.108%,6136,2.212%
61,Necrozma-Dawn-Wings,1.28727%,12717,3.203%,8595,3.098%
62,Klefki,1.27516%,4491,1.131%,3845,1.386%
63,Ribombee,1.23770%,5264,1.326%,4529,1.632%
