Rank,Pokemon,Usage %,Raw,%,Real,%
1,Scizor,24.05983,554,22.142,410,20.735
2,Gyarados,21.41679,371,14.828,269,13.604
3,Salamence,20.61707,418,16.707,321,16.234
4,Keldeo,20.57037,372,14.868,282,14.262
5,Hydreigon,20.11920,313,12.510,260,13.149
6,Thundurus-Therian,19.30735,273,10.911,217,10.974
7,Hippowdon,19.04295,330,13.189,291,14.717
8,Chansey,18.52192,384,15.348,319,16.133
9,Crawdaunt,17.03758,254,10.152,162,8.193
10,Slowking,15.70563,286,11.431,230,11.632
11,Cobalion,14.92504,251,10.032,200,10.115
12,Excadrill,14.38282,523,20.903,414,20.937
13,Shuckle,14.37011,123,4.916,113,5.715
14,Conkeldurr,14.03514,386,15.428,312,15.779
15,Lycanroc-Dusk,13.84736,193,7.714,134,6.777
16,Moltres,11.71740,211,8.433,158,7.991
17,Chandelure,11.61025,187,7.474,131,6.625
18,Amoonguss,11.34760,395,15.787,320,16.183
19,Celesteela,11.22146,369,14.748,297,15.020
20,Jirachi,11.03468,284,11.351,230,11.632
21,Skarmory,10.95940,259,10.352,220,11.126
22,Rotom-Wash,10.34680,379,15.148,343,17.347
23,Swampert,8.98151,207,8.273,184,9.305
24,Quagsire,8.86378,115,4.596,84,4.248
25,Rotom-Heat,8.65571,176,7.034,146,7.384
26,Nidoking,7.87085,297,11.871,219,11.076
27,Starmie,7.67462,109,4.357,84,4.248
28,Tapu Bulu,7.28648,131,5.236,105,5.310
29,Primarina,7.09309,224,8.953,179,9.053
30,Scolipede,6.57253,43,1.719,32,1.618
31,Krookodile,6.29980,203,8.114,166,8.395
32,Nihilego,5.88840,232,9.273,185,9.356
33,Tangrowth,5.84440,268,10.711,222,11.227
34,Tornadus,5.64094,33,1.319,29,1.467
35,Aerodactyl,5.62577,26,1.039,24,1.214
36,Polteageist,5.60317,48,1.918,30,1.517
37,Azelf,5.52166,246,9.832,177,8.951
38,Mamoswine,5.31287,170,6.795,135,6.827
39,Mandibuzz,5.20113,166,6.635,131,6.625
40,Haxorus,5.16198,74,2.958,53,2.680
41,Darmanitan,5.13199,265,10.592,208,10.519
42,Diggersby,5.09688,81,3.237,65,3.287
43,Politoed,4.96860,60,2.398,57,2.883
44,Sylveon,4.92948,35,1.399,28,1.416
45,Zygarde-10,4.92149,160,6.395,123,6.220
46,Kingdra,4.44570,52,2.078,39,1.972
47,Toxicroak,4.39861,18,0.719,13,0.657
48,Zarude,4.35101,149,5.955,113,5.715
49,Gastrodon,4.31111,38,1.519,31,1.568
50,Dhelmise,4.26814,13,0.520,11,0.556
51,Ditto,4.25934,23,0.919,14,0.708
52,Necrozma,4.25173,74,2.958,51,2.579
53,Crobat,4.17628,42,1.679,32,1.618
54,Xatu,3.41985,29,1.159,27,1.365
55,Magneton,3.32710,20,0.799,14,0.708
56,Slowbro-Galar,3.32517,65,2.598,52,2.630
57,Regieleki,3.12894,199,7.954,159,8.041
58,Torkoal,3.09629,142,5.675,133,6.726
59,Heracross,2.98034,20,0.799,16,0.809
60,Hatterene,2.91255,205,8.193,162,8.193
61,Venusaur,2.90551,177,7.074,141,7.131
62,Sharpedo,2.58986,40,1.599,25,1.264
63,Metagross,2.19809,33,1.319,28,1.416
64,Mantine,2.15115,15,0.600,11,0.556
65,Shedinja,2.15115,31,1.239,21,1.062
66,Porygon2,2.06911,49,1.958,40,2.023
67,Ribombee,1.92176,42,1.679,38,1.922
68,Raikou,1.81855,47,1.878,42,2.124
69,Slurpuff,1.75730,34,1.359,24,1.214
70,Noivern,1.73201,61,2.438,47,2.377
71,Tentacruel,1.32059,26,1.039,25,1.264
72,Marowak-Alola,1.19514,34,1.359,27,1.365
73,Salazzle,1.04499,31,1.239,26,1.315
74,Mimikyu,1.02831,73,2.918,48,2.428
75,Durant,0.96260,66,2.638,52,2.630
76,Snorlax,0.93005,24,0.959,19,0.961
77,Bewear,0.92640,14,0.560,14,0.708
78,Braviary,0.92576,3,0.120,2,0.101
79,Drampa,0.92512,3,0.120,1,0.051
80,Oranguru,0.92512,1,0.040,1,0.051
81,Registeel,0.88731,32,1.279,25,1.264
82,Azumarill,0.82553,149,5.955,115,5.816
83,Lanturn,0.82209,4,0.160,3,0.152
84,Bronzong,0.82052,18,0.719,16,0.809
85,Charizard,0.74000,65,2.598,44,2.225
86,Seismitoad,0.73980,22,0.879,20,1.011
87,Sneasel,0.71113,12,0.480,9,0.455
88,Blastoise,0.70971,42,1.679,38,1.922
89,Roserade,0.67872,33,1.319,30,1.517
90,Incineroar,0.62388,102,4.077,90,4.552
91,Shiftry,0.62271,8,0.320,7,0.354
92,Vikavolt,0.61713,6,0.240,4,0.202
93,Aggron,0.59725,16,0.639,14,0.708
94,Vaporeon,0.57128,15,0.600,11,0.556
95,Sirfetch'd,0.55371,43,1.719,39,1.972
96,Umbreon,0.52847,49,1.958,35,1.770
97,Corsola-Galar,0.47546,27,1.079,22,1.113
98,Reuniclus,0.47041,24,0.959,17,0.860
99,Ferroseed,0.45924,1,0.040,1,0.051
100,Rotom-Mow,0.41895,13,0.520,11,0.556
101,Mr. Rime,0.41554,9,0.360,6,0.303
102,Weezing-Galar,0.41350,21,0.839,15,0.759
103,Goodra,0.39552,25,0.999,21,1.062
104,Suicune,0.38810,18,0.719,11,0.556
105,Rhyperior,0.38564,20,0.799,17,0.860
106,Gardevoir,0.38201,51,2.038,43,2.175
107,Nidoqueen,0.36092,29,1.159,27,1.365
108,Entei,0.29039,28,1.119,25,1.264
109,Sceptile,0.28171,9,0.360,6,0.303
110,Tsareena,0.27847,13,0.520,11,0.556
111,Weezing,0.24810,10,0.400,10,0.506
112,Obstagoon,0.24054,34,1.359,29,1.467
113,Stakataka,0.23104,39,1.559,34,1.719
114,Exeggutor-Alola,0.23090,12,0.480,10,0.506
115,Cursola,0.23041,16,0.639,12,0.607
116,Glastrier,0.23028,8,0.320,7,0.354
117,Klefki,0.21058,12,0.480,11,0.556
118,Milotic,0.20655,30,1.199,25,1.264
119,Lucario,0.19946,32,1.279,27,1.365
120,Doublade,0.17252,6,0.240,6,0.303
121,Golurk,0.16079,19,0.759,16,0.809
122,Talonflame,0.14829,36,1.439,30,1.517
123,Cofagrigus,0.14744,6,0.240,6,0.303
124,Sandslash-Alola,0.14744,4,0.160,4,0.202
125,Cloyster,0.14322,52,2.078,45,2.276
126,Celebi,0.13880,10,0.400,9,0.455
127,Sigilyph,0.13701,9,0.360,7,0.354
128,Espeon,0.13370,14,0.560,11,0.556
129,Tyrantrum,0.12981,13,0.520,11,0.556
130,Decidueye,0.12695,9,0.360,4,0.202
131,Ninetales,0.12513,23,0.919,22,1.113
132,Jellicent,0.11118,21,0.839,17,0.860
133,Cradily,0.11051,7,0.280,7,0.354
134,Virizion,0.10516,1,0.040,0,0.000
135,Drapion,0.10516,6,0.240,4,0.202
136,Articuno-Galar,0.10420,10,0.400,9,0.455
137,Togekiss,0.10392,83,3.317,70,3.540
138,Inteleon,0.09420,34,1.359,29,1.467
139,Cresselia,0.09266,21,0.839,19,0.961
140,Toxtricity,0.07173,12,0.480,10,0.506
141,Omastar,0.04331,3,0.120,3,0.152
