Rank,Pokemon,Usage %,Raw,%,Real,%
1,Tauros,94.90707%,32897,79.890%,24702,70.830%
2,Snorlax,85.30903%,30567,74.231%,25582,73.353%
3,Chansey,77.44728%,28938,70.275%,25020,71.742%
4,Exeggutor,57.90424%,20768,50.435%,18710,53.648%
5,Starmie,53.38945%,17871,43.399%,16143,46.288%
6,Alakazam,48.16373%,17343,42.117%,15404,44.169%
7,Gengar,32.94143%,12673,30.776%,11457,32.851%
8,Cloyster,31.33327%,7194,17.470%,6203,17.786%
9,Jynx,20.73490%,6531,15.860%,6310,18.093%
10,Zapdos,19.08295%,8627,20.951%,7090,20.330%
11,Rhydon,13.10905%,12625,30.660%,10422,29.884%
12,Persian,12.80688%,2940,7.140%,2334,6.692%
13,Slowbro,11.91062%,5162,12.536%,4301,12.333%
14,Jolteon,9.74432%,5965,14.486%,5293,15.177%
15,Dragonite,4.24775%,2980,7.237%,2394,6.864%
16,Articuno,3.62668%,1410,3.424%,1136,3.257%
17,Lapras,3.59907%,2506,6.086%,2156,6.182%
18,Victreebel,2.98378%,1709,4.150%,1383,3.966%
19,Golem,2.57468%,1919,4.660%,1596,4.576%
20,Dugtrio,2.29817%,639,1.552%,547,1.568%
21,Kadabra,1.89513%,195,0.474%,185,0.530%
22,Porygon,1.57537%,600,1.457%,466,1.336%
23,Hypno,1.38866%,1069,2.596%,1017,2.916%
24,Sandslash,1.03355%,886,2.152%,691,1.981%
25,Lickitung,0.91524%,155,0.376%,113,0.324%
26,Dragonair,0.89708%,246,0.597%,197,0.565%
27,Moltres,0.50169%,1279,3.106%,1065,3.054%
28,Arbok,0.49188%,216,0.525%,171,0.490%
29,Nidoqueen,0.36493%,302,0.733%,255,0.731%
30,Venusaur,0.30793%,1336,3.244%,1138,3.263%
31,Kingler,0.24048%,706,1.715%,526,1.508%
32,Kabutops,0.21057%,362,0.879%,291,0.834%
33,Clefable,0.20622%,292,0.709%,238,0.682%
34,Kangaskhan,0.17909%,373,0.906%,312,0.895%
35,Dodrio,0.17736%,582,1.413%,491,1.408%
36,Charizard,0.17293%,1553,3.771%,1345,3.857%
37,Raticate,0.17131%,273,0.663%,227,0.651%
38,Electrode,0.11139%,1164,2.827%,1076,3.085%
39,Raichu,0.08982%,988,2.399%,825,2.366%
40,Electabuzz,0.07402%,233,0.566%,198,0.568%
41,Parasect,0.05682%,441,1.071%,417,1.196%
42,Ditto,0.04354%,238,0.578%,197,0.565%
43,Weezing,0.04152%,132,0.321%,111,0.318%
44,Pinsir,0.04135%,384,0.933%,297,0.852%
45,Tangela,0.04053%,124,0.301%,106,0.304%
46,Wigglytuff,0.03805%,134,0.325%,117,0.335%
