Rank,Pokemon,Usage %,Raw,%,Real,%
1,Blastoise-Mega,25.22141%,36261,20.125%,29289,20.638%
2,Entei,23.76317%,25365,14.077%,19917,14.034%
3,Milotic,23.11383%,30361,16.850%,24647,17.367%
4,Bronzong,20.73668%,25255,14.016%,22428,15.803%
5,Gardevoir,19.47159%,22954,12.739%,16589,11.689%
6,Gligar,19.02643%,18777,10.421%,15454,10.889%
7,Registeel,14.47609%,11950,6.632%,10488,7.390%
8,Mandibuzz,13.82569%,13501,7.493%,10943,7.711%
9,Florges,12.60715%,19939,11.066%,15158,10.681%
10,Roserade,12.39037%,17576,9.755%,13793,9.719%
11,Sceptile-Mega,12.24052%,12558,6.970%,9321,6.568%
12,Zygarde-10%,11.77165%,14291,7.931%,10529,7.419%
13,Steelix-Mega,11.64799%,14570,8.086%,12381,8.724%
14,Shaymin,10.83541%,12100,6.715%,9062,6.385%
15,Tyrantrum,9.74598%,14268,7.919%,10450,7.363%
16,Snorlax,9.63040%,15718,8.723%,11997,8.453%
17,Virizion,9.48811%,8306,4.610%,6326,4.457%
18,Feraligatr,8.85597%,17920,9.945%,13566,9.559%
19,Rhyperior,8.64269%,9996,5.548%,8317,5.860%
20,Salazzle,8.42224%,18760,10.412%,13892,9.789%
21,Drapion,8.15811%,12708,7.053%,10357,7.298%
22,Necrozma,8.12690%,8825,4.898%,6825,4.809%
23,Toxicroak,7.92363%,7103,3.942%,5425,3.823%
24,Nidoqueen,7.92043%,14611,8.109%,12255,8.635%
25,Golisopod,7.84082%,12389,6.876%,9960,7.018%
26,Flygon,7.62582%,17915,9.943%,13657,9.623%
27,Meloetta,7.61534%,7177,3.983%,5354,3.773%
28,Forretress,7.51227%,12842,7.127%,11501,8.104%
29,Umbreon,7.44303%,15479,8.591%,11853,8.352%
30,Noivern,7.23500%,8336,4.626%,6514,4.590%
31,Espeon,6.99609%,19444,10.791%,14723,10.374%
32,Doublade,6.98936%,12687,7.041%,10149,7.151%
33,Escavalier,6.76841%,10085,5.597%,8134,5.731%
