Rank,Pokemon,Usage %,Raw,%,Real,%
1,Tyranitar,50.21034%,51615,34.078%,41025,33.505%
2,Jirachi,48.43642%,33133,21.875%,27653,22.584%
3,Latias,33.38266%,29576,19.527%,22919,18.718%
4,Heatran,28.06662%,34836,23.000%,29003,23.687%
5,Metagross,25.25645%,26892,17.755%,23056,18.830%
6,Dragonite,23.01213%,27081,17.880%,20267,16.552%
7,Breloom,21.24103%,28454,18.786%,21844,17.840%
8,Flygon,20.82404%,21881,14.447%,17696,14.452%
9,Azelf,20.18955%,23958,15.818%,22741,18.572%
10,Gyarados,19.81192%,25440,16.796%,21041,17.184%
11,Magnezone,17.76158%,13818,9.123%,10708,8.745%
12,Rotom-Heat,17.54377%,14607,9.644%,12191,9.956%
13,Clefable,15.88335%,7826,5.167%,6314,5.157%
14,Gengar,15.59528%,27708,18.294%,21340,17.428%
15,Starmie,15.59318%,29987,19.798%,24196,19.761%
16,Rotom-Wash,15.58720%,15654,10.335%,12868,10.509%
17,Swampert,14.97917%,20084,13.260%,17824,14.557%
18,Empoleon,13.30703%,15358,10.140%,12752,10.414%
19,Scizor,13.15630%,26203,17.300%,20695,16.901%
20,Machamp,12.94116%,14875,9.821%,12662,10.341%
21,Suicune,12.89989%,14872,9.819%,11652,9.516%
22,Lucario,12.50202%,20450,13.502%,15029,12.274%
23,Skarmory,11.75366%,17800,11.752%,15769,12.878%
24,Kingdra,10.28248%,14983,9.892%,11801,9.638%
25,Zapdos,9.84115%,16494,10.890%,13533,11.052%
26,Bronzong,9.19542%,18229,12.035%,15952,13.028%
27,Gliscor,8.48732%,11774,7.774%,9607,7.846%
28,Infernape,8.24311%,32774,21.638%,26070,21.291%
29,Roserade,7.83300%,12375,8.170%,10786,8.809%
30,Uxie,5.81269%,5099,3.367%,4927,4.024%
31,Milotic,4.47076%,4564,3.013%,3666,2.994%
32,Blissey,4.22290%,13801,9.112%,10963,8.953%
33,Celebi,4.11165%,6765,4.466%,5427,4.432%
34,Hippowdon,2.64298%,6655,4.394%,6088,4.972%
35,Nidoqueen,2.63026%,2084,1.376%,1860,1.519%
36,Aerodactyl,2.48778%,9093,6.003%,8381,6.845%
37,Tentacruel,2.30996%,4297,2.837%,3608,2.947%
38,Vaporeon,2.13298%,4585,3.027%,3735,3.050%
39,Mamoswine,2.10090%,6215,4.103%,4755,3.883%
40,Forretress,2.00313%,9056,5.979%,7925,6.472%
41,Froslass,1.96276%,2915,1.925%,2453,2.003%
42,Abomasnow,1.82895%,3350,2.212%,2954,2.413%
43,Rotom-Mow,1.75811%,2476,1.635%,2048,1.673%
44,Shaymin,1.47649%,2610,1.723%,2031,1.659%
45,Snorlax,1.45622%,7162,4.729%,5637,4.604%
46,Yanmega,1.44766%,2078,1.372%,1776,1.450%
47,Raikou,1.40620%,2614,1.726%,2053,1.677%
48,Slowbro,1.30768%,1539,1.016%,1227,1.002%
49,Qwilfish,1.29255%,2232,1.474%,1695,1.384%
50,Quagsire,1.22487%,1084,0.716%,922,0.753%
51,Donphan,0.95978%,2199,1.452%,1830,1.495%
52,Weavile,0.95164%,9344,6.169%,7114,5.810%
53,Omastar,0.87670%,716,0.473%,592,0.483%
54,Ludicolo,0.81685%,3886,2.566%,3066,2.504%
