Rank,Pokemon,Usage %,Raw,%,Real,%
1,Flygon,26.46056%,26454,17.921%,20817,17.724%
2,Umbreon,21.59396%,16536,11.202%,13162,11.206%
3,Togekiss,19.32690%,27699,18.764%,21521,18.323%
4,Mienshao,18.96367%,22884,15.502%,18263,15.549%
5,Cobalion,18.66711%,15872,10.752%,13448,11.450%
6,Necrozma,17.49166%,12518,8.480%,9482,8.073%
7,Crobat,16.61502%,20717,14.034%,16400,13.963%
8,Xurkitree,16.47809%,21066,14.271%,16715,14.231%
9,Reuniclus,16.47581%,14260,9.660%,11158,9.500%
10,Steelix,15.40919%,14178,9.605%,12561,10.695%
11,Incineroar,14.65854%,18972,12.852%,16126,13.730%
12,Metagross,14.47175%,24042,16.287%,19848,16.899%
13,Mimikyu,12.96406%,14600,9.890%,10803,9.198%
14,Registeel,12.90643%,9664,6.547%,8490,7.228%
15,Seismitoad,12.70354%,17667,11.968%,15268,12.999%
16,Roserade,12.46756%,16516,11.188%,13264,11.293%
17,Golisopod,11.57512%,12719,8.616%,10436,8.885%
18,Milotic,10.94075%,15290,10.358%,12514,10.655%
19,Raikou,10.63988%,17638,11.948%,13920,11.852%
20,Noivern,9.56012%,13808,9.354%,10849,9.237%
21,Weezing-Galar,9.44695%,12500,8.468%,10369,8.828%
22,Sharpedo,8.86380%,8612,5.834%,6252,5.323%
23,Ninetales-Alola,7.70291%,7753,5.252%,6637,5.651%
24,Polteageist,7.63133%,10229,6.929%,7310,6.224%
25,Stakataka,7.60784%,7707,5.221%,6426,5.471%
26,Chandelure,7.44044%,17781,12.045%,13481,11.478%
27,Obstagoon,7.19372%,13895,9.413%,10843,9.232%
28,Toxtricity,7.17906%,13977,9.468%,10834,9.224%
29,Diancie,6.97356%,4276,2.897%,3707,3.156%
30,Suicune,6.65436%,8239,5.581%,6702,5.706%
31,Quagsire,6.65419%,3596,2.436%,2956,2.517%
32,Volcanion,6.55340%,10562,7.155%,8589,7.313%
33,Xatu,6.31417%,3552,2.406%,2875,2.448%
34,Klefki,5.89506%,13004,8.809%,11389,9.697%
35,Cloyster,5.84666%,19410,13.149%,14183,12.076%
36,Golurk,5.81012%,3096,2.097%,2482,2.113%
37,Celebi,5.74208%,4372,2.962%,3602,3.067%
38,Gastrodon,5.66221%,13027,8.825%,10942,9.316%
39,Porygon2,5.59062%,12952,8.774%,10459,8.905%
40,Vileplume,5.57031%,4605,3.120%,3852,3.280%
41,Darmanitan,5.18105%,18553,12.568%,14380,12.243%
42,Barraskewda,5.12666%,14724,9.974%,11319,9.637%
43,Lucario,4.88374%,7135,4.833%,5336,4.543%
44,Gardevoir,4.64660%,12714,8.613%,9492,8.082%
45,Arctozolt,4.56698%,3307,2.240%,2638,2.246%
46,Marowak-Alola,4.46065%,9511,6.443%,7310,6.224%
47,Durant,4.04978%,4319,2.926%,3406,2.900%
48,Shedinja,3.91540%,1086,0.736%,817,0.696%
49,Heracross,3.82439%,12069,8.176%,9186,7.821%
50,Politoed,3.69986%,10570,7.160%,9737,8.290%
51,Toxicroak,3.58023%,2344,1.588%,1834,1.561%
52,Vaporeon,3.49867%,3029,2.052%,2523,2.148%
53,Starmie,3.38032%,4471,3.029%,3457,2.943%
54,Ribombee,3.30143%,3578,2.424%,3247,2.765%
55,Indeedee,3.29139%,2806,1.901%,2102,1.790%
56,Bronzong,2.85738%,2906,1.969%,2598,2.212%
57,Froslass,2.69900%,3627,2.457%,3370,2.869%
58,Decidueye,2.62910%,2719,1.842%,2274,1.936%
59,Torkoal,2.55890%,3485,2.361%,3293,2.804%
60,Snorlax,2.54602%,7706,5.220%,5977,5.089%
61,Entei,2.53020%,3383,2.292%,2632,2.241%
62,Weezing,2.44551%,541,0.366%,480,0.409%
63,Dhelmise,2.32787%,3469,2.350%,2911,2.478%
64,Heliolisk,2.29764%,2460,1.666%,1890,1.609%
65,Regidrago,2.06989%,6066,4.109%,4355,3.708%
