Rank,Pokemon,Usage %,Raw,%,Real,%
1,Metagross,30.28540%,62126,22.073%,50867,22.713%
2,Blastoise-Mega,30.10887%,71672,25.465%,58759,26.237%
3,Donphan,23.32491%,47180,16.763%,40778,18.208%
4,Golisopod,19.09066%,26802,9.523%,21952,9.802%
5,Noivern,15.91686%,20668,7.343%,16589,7.407%
6,Registeel,15.30397%,21519,7.646%,19048,8.505%
7,Florges,15.02375%,31809,11.302%,24882,11.110%
8,Machamp,13.70023%,30490,10.833%,24296,10.849%
9,Roserade,12.39574%,28919,10.275%,22764,10.165%
10,Flygon,12.20211%,36512,12.973%,28213,12.598%
11,Bronzong,12.10708%,27887,9.908%,24734,11.044%
12,Virizion,12.05510%,18512,6.577%,14120,6.305%
13,Gardevoir,11.82588%,33337,11.845%,24291,10.846%
14,Mandibuzz,10.83944%,23370,8.303%,19349,8.640%
15,Umbreon,10.81274%,21487,7.634%,16598,7.411%
16,Nidoqueen,10.67358%,24810,8.815%,20757,9.268%
17,Raikou,10.09273%,26382,9.374%,20656,9.223%
18,Sceptile-Mega,9.54008%,32654,11.602%,23606,10.540%
19,Cresselia,9.35196%,19967,7.094%,15320,6.841%
20,Arcanine,8.82729%,48400,17.197%,38175,17.046%
21,Venusaur,8.36705%,9031,3.209%,7043,3.145%
22,Forretress,8.25935%,25258,8.974%,22590,10.087%
23,Necrozma,8.24766%,14120,5.017%,10851,4.845%
24,Salazzle,8.15264%,30867,10.967%,23206,10.362%
25,Zygarde-10%,7.80762%,20339,7.226%,15136,6.758%
26,Diancie,7.60233%,12972,4.609%,10696,4.776%
27,Torkoal,7.09240%,6014,2.137%,5517,2.463%
28,Milotic,6.97397%,29502,10.482%,23798,10.626%
29,Araquanid,6.90952%,31731,11.274%,27012,12.061%
30,Mantine,6.80868%,12577,4.469%,10241,4.573%
31,Shaymin,6.62209%,13097,4.653%,9856,4.401%
32,Porygon2,6.03721%,17479,6.210%,13866,6.191%
33,Charizard,5.95473%,3281,1.166%,2548,1.138%
34,Shiftry,5.90881%,1326,0.471%,1030,0.460%
35,Slowbro,5.64682%,16601,5.898%,13127,5.861%
36,Bewear,5.57098%,15048,5.347%,11313,5.051%
37,Marowak-Alola,5.38965%,21642,7.689%,17351,7.748%
38,Absol-Mega,5.32996%,2996,1.064%,2376,1.061%
39,Ninetales,5.18051%,14561,5.174%,11742,5.243%
40,Toxicroak,5.07688%,16787,5.964%,12863,5.744%
41,Rhyperior,5.06723%,15468,5.496%,12806,5.718%
42,Snorlax,5.02742%,19548,6.945%,15423,6.887%
43,Dragalge,4.87844%,11216,3.985%,8821,3.939%
44,Swellow,4.62560%,19173,6.812%,14599,6.519%
45,Goodra,4.60759%,17277,6.139%,13344,5.958%
46,Tyrantrum,4.59610%,17997,6.394%,13295,5.936%
47,Espeon,4.28631%,27288,9.695%,20820,9.296%
48,Honchkrow,4.25535%,26886,9.553%,20598,9.197%
49,Uxie,4.22012%,13522,4.804%,12221,5.457%
50,Hariyama,4.16236%,2380,0.846%,1993,0.890%
51,Lycanroc-Dusk,4.14900%,17362,6.169%,13479,6.019%
52,Houndoom,3.97823%,3294,1.170%,2529,1.129%
53,Ampharos-Mega,3.79990%,19164,6.809%,14650,6.541%
54,Drapion,3.69150%,17992,6.393%,14386,6.424%
55,Escavalier,3.62605%,14684,5.217%,11949,5.335%
56,Quagsire,3.34743%,2801,0.995%,2203,0.984%
57,Yanmega,3.31445%,14901,5.294%,11391,5.086%
58,Ribombee,3.07240%,7787,2.767%,6305,2.815%
59,Articuno,3.04351%,1476,0.524%,1166,0.521%
60,Cloyster,3.00263%,29256,10.395%,22064,9.852%
61,Galvantula,2.92291%,26268,9.333%,23025,10.281%
62,Hoopa,2.82196%,5006,1.779%,3939,1.759%
63,Gigalith,2.76330%,5872,2.086%,5376,2.400%
64,Tsareena,2.75197%,12652,4.495%,10039,4.483%
65,Steelix,2.64561%,3566,1.267%,3121,1.394%
66,Barbaracle,2.47452%,9751,3.465%,6947,3.102%
