Rank,Pokemon,Usage %,Raw,%,Real,%
1,Landorus-Therian,40.19920%,1321864,29.611%,1142262,33.048%
2,Ferrothorn,24.99947%,751421,16.833%,644282,18.640%
3,Magearna,23.48020%,632921,14.178%,503620,14.571%
4,Tornadus-Therian,21.88222%,444578,9.959%,350559,10.142%
5,Greninja-Ash,20.98766%,731739,16.392%,535229,15.485%
6,Toxapex,19.94607%,453666,10.163%,354002,10.242%
7,Chansey,17.93095%,334008,7.482%,256935,7.434%
8,Heatran,16.65789%,613617,13.746%,505086,14.613%
9,Tapu Koko,15.47426%,669848,15.005%,536102,15.510%
10,Gliscor,14.52195%,402882,9.025%,316303,9.151%
11,Kartana,14.39575%,542521,12.153%,400948,11.600%
12,Clefable,11.44868%,268265,6.009%,198251,5.736%
13,Skarmory,11.33263%,228669,5.122%,190610,5.515%
14,Zapdos,11.05032%,406588,9.108%,327172,9.466%
15,Tapu Fini,10.94322%,347590,7.786%,286583,8.291%
16,Tapu Lele,10.70512%,419326,9.393%,317439,9.184%
17,Swampert-Mega,10.66148%,260803,5.842%,213742,6.184%
18,Pelipper,10.08829%,259806,5.820%,238665,6.905%
19,Latias-Mega,10.04430%,69618,1.560%,53163,1.538%
20,Rotom-Wash,9.55335%,441976,9.901%,373626,10.810%
21,Excadrill,9.46935%,378883,8.487%,296988,8.592%
22,Tapu Bulu,8.82986%,302431,6.775%,233140,6.745%
23,Lopunny-Mega,8.64674%,261810,5.865%,203594,5.890%
24,Mawile-Mega,8.62756%,241789,5.416%,180001,5.208%
25,Garchomp,8.45903%,469682,10.521%,375585,10.866%
26,Reuniclus,8.27198%,70413,1.577%,50981,1.475%
27,Celesteela,8.25559%,311238,6.972%,248980,7.203%
28,Greninja,8.13301%,424053,9.499%,326388,9.443%
29,Tangrowth,7.28541%,248935,5.576%,195536,5.657%
30,Medicham-Mega,7.10476%,254073,5.691%,203042,5.874%
31,Scizor-Mega,6.97382%,239140,5.357%,185424,5.365%
32,Manaphy,6.43297%,79125,1.772%,57695,1.669%
33,Diancie-Mega,6.21475%,179559,4.022%,146286,4.232%
34,Hawlucha,6.03407%,297084,6.655%,202614,5.862%
35,Magnezone,5.82524%,296200,6.635%,232624,6.730%
36,Serperior,5.45067%,404275,9.056%,297814,8.616%
37,Jirachi,5.44207%,188508,4.223%,147544,4.269%
38,Ditto,5.38534%,78573,1.760%,57624,1.667%
39,Tyranitar-Mega,5.19533%,190516,4.268%,146321,4.233%
40,Volcarona,5.15144%,333452,7.470%,240441,6.956%
41,Kommo-o,5.12005%,240327,5.384%,178233,5.157%
42,Victini,4.68487%,265000,5.936%,204481,5.916%
43,Sableye-Mega,4.28969%,118960,2.665%,104901,3.035%
44,Weavile,4.18484%,154702,3.465%,114310,3.307%
45,Blacephalon,4.12606%,206950,4.636%,150291,4.348%
46,Kyurem-Black,3.87891%,211337,4.734%,158857,4.596%
47,Keldeo,3.68401%,134126,3.005%,102812,2.975%
48,Gyarados-Mega,3.66334%,167813,3.759%,127240,3.681%
49,Alakazam-Mega,3.64258%,285326,6.392%,191403,5.538%
50,Tyranitar,3.63356%,274619,6.152%,216967,6.277%
51,Venusaur-Mega,3.51185%,172131,3.856%,134312,3.886%
52,Bisharp,3.37088%,103215,2.312%,73112,2.115%
53,Gyarados,2.76426%,111147,2.490%,84344,2.440%
54,Hoopa-Unbound,2.68395%,88218,1.976%,62561,1.810%
55,Pinsir-Mega,2.66300%,101006,2.263%,70588,2.042%
56,Azumarill,2.62126%,228295,5.114%,172273,4.984%
57,Hippowdon,2.51738%,57590,1.290%,50325,1.456%
58,Mew,2.41726%,156703,3.510%,123586,3.576%
59,Charizard-Mega-Y,2.41710%,239613,5.368%,189332,5.478%
60,Slowbro,2.37899%,48862,1.095%,38633,1.118%
61,Amoonguss,2.27347%,52058,1.166%,40055,1.159%
62,Charizard-Mega-X,2.26279%,281690,6.310%,210336,6.085%
63,Seismitoad,2.11744%,31038,0.695%,27000,0.781%
64,Gastrodon,2.03124%,71762,1.608%,57343,1.659%
65,Quagsire,1.50467%,41197,0.923%,30880,0.893%
66,Hydreigon,1.49366%,82555,1.849%,61785,1.788%
67,Crawdaunt,1.46398%,58607,1.313%,43600,1.261%
68,Krookodile,1.45839%,35346,0.792%,26967,0.780%
69,Slowbro-Mega,1.34861%,27886,0.625%,21942,0.635%
70,Mimikyu,1.32724%,190198,4.261%,133419,3.860%
71,Garchomp-Mega,1.25564%,72635,1.627%,54429,1.575%
72,Zeraora,1.24882%,88892,1.991%,66985,1.938%
73,Thundurus-Therian,1.24720%,81723,1.831%,64072,1.854%
74,Dragonite,1.24615%,202608,4.539%,146477,4.238%
75,Meloetta,1.19796%,12880,0.289%,9079,0.263%
76,Muk-Alola,1.18134%,72020,1.613%,55915,1.618%
77,Latios-Mega,1.09788%,50959,1.142%,38934,1.126%
78,Cresselia,1.05643%,62895,1.409%,48446,1.402%
79,Volcanion,1.04259%,52137,1.168%,41444,1.199%
80,Gengar,0.99851%,114734,2.570%,81371,2.354%
81,Espeon,0.92091%,64686,1.449%,47660,1.379%
82,Araquanid,0.88668%,61941,1.388%,52258,1.512%
83,Mantine,0.88302%,25890,0.580%,20017,0.579%
84,Marowak-Alola,0.84657%,67688,1.516%,52276,1.512%
85,Kingdra,0.84007%,65360,1.464%,46405,1.343%
86,Alomomola,0.82838%,22307,0.500%,17523,0.507%
87,Heracross-Mega,0.81085%,54265,1.216%,39745,1.150%
88,Scizor,0.80109%,79928,1.790%,59995,1.736%
89,Ribombee,0.72934%,60071,1.346%,53121,1.537%
90,Buzzwole,0.72715%,47252,1.058%,34967,1.012%
91,Mamoswine,0.71464%,74902,1.678%,60735,1.757%
92,Pyukumuku,0.68331%,17405,0.390%,12625,0.365%
93,Suicune,0.67437%,40932,0.917%,31455,0.910%
94,Thundurus,0.66672%,52011,1.165%,39743,1.150%
95,Latias,0.66250%,37973,0.851%,27566,0.798%
96,Latios,0.66187%,85528,1.916%,62964,1.822%
97,Gallade-Mega,0.64947%,78513,1.759%,56091,1.623%
98,Beedrill-Mega,0.61799%,98310,2.202%,75609,2.187%
99,Salamence,0.60245%,106508,2.386%,77705,2.248%
100,Kyurem,0.58395%,16014,0.359%,12265,0.355%
101,Shedinja,0.57763%,17424,0.390%,11839,0.343%
102,Breloom,0.51126%,113228,2.536%,85087,2.462%
103,Talonflame,0.50417%,40256,0.902%,29722,0.860%
104,Ninetales-Alola,0.50308%,88110,1.974%,71550,2.070%
105,Celebi,0.46850%,15979,0.358%,12029,0.348%
106,Manectric-Mega,0.46654%,65384,1.465%,52317,1.514%
107,Altaria-Mega,0.46341%,33469,0.750%,24039,0.695%
108,Aerodactyl-Mega,0.45331%,40013,0.896%,29917,0.866%
109,Diggersby,0.44967%,34899,0.782%,26550,0.768%
110,Zygarde-10%,0.37557%,14058,0.315%,10304,0.298%
111,Uxie,0.35510%,27763,0.622%,25893,0.749%
112,Tentacruel,0.35409%,45273,1.014%,35063,1.014%
113,Porygon-Z,0.32842%,62839,1.408%,45007,1.302%
114,Scolipede,0.31436%,47089,1.055%,34791,1.007%
115,Torkoal,0.30906%,49739,1.114%,44984,1.301%
116,Terrakion,0.30390%,20559,0.461%,15052,0.435%
117,Shuckle,0.30083%,60453,1.354%,54083,1.565%
118,Politoed,0.27541%,22051,0.494%,18515,0.536%
119,Mandibuzz,0.27141%,27070,0.606%,20822,0.602%
120,Stakataka,0.26628%,36179,0.810%,26997,0.781%
121,Primarina,0.25171%,24660,0.552%,18853,0.545%
122,Yanmega,0.25128%,13947,0.312%,10135,0.293%
123,Aerodactyl,0.25009%,16450,0.368%,14246,0.412%
124,Nidoking,0.24521%,59791,1.339%,46650,1.350%
125,Aggron-Mega,0.24028%,34981,0.784%,28472,0.824%
126,Venusaur,0.23832%,49987,1.120%,37234,1.077%
127,Abomasnow-Mega,0.23601%,17600,0.394%,14235,0.412%
128,Blissey,0.23024%,42238,0.946%,31136,0.901%
129,Donphan,0.22246%,26263,0.588%,21938,0.635%
130,Bronzong,0.21868%,30639,0.686%,27093,0.784%
131,Gardevoir-Mega,0.20866%,69757,1.563%,47785,1.383%
132,Swampert,0.20632%,35521,0.796%,30303,0.877%
133,Avalugg,0.20554%,11125,0.249%,8213,0.238%
134,Sharpedo-Mega,0.19765%,23800,0.533%,17000,0.492%
135,Porygon2,0.19537%,41050,0.920%,32200,0.932%
136,Starmie,0.19134%,48574,1.088%,35662,1.032%
137,Xurkitree,0.18741%,56661,1.269%,41909,1.212%
138,Glalie-Mega,0.18326%,15159,0.340%,11443,0.331%
139,Alakazam,0.18256%,55458,1.242%,36589,1.059%
140,Snorlax,0.18232%,73237,1.641%,54506,1.577%
141,Raichu-Alola,0.17976%,21604,0.484%,15628,0.452%
142,Klefki,0.17020%,36005,0.807%,30207,0.874%
143,Togekiss,0.16702%,68643,1.538%,49937,1.445%
144,Froslass,0.16053%,15070,0.338%,12476,0.361%
145,Azelf,0.15002%,33298,0.746%,30716,0.889%
146,Chesnaught,0.14738%,15437,0.346%,11589,0.335%
147,Moltres,0.14678%,14980,0.336%,11437,0.331%
148,Staraptor,0.14562%,74831,1.676%,56503,1.635%
149,Conkeldurr,0.14346%,66402,1.487%,50567,1.463%
150,Cloyster,0.14245%,74130,1.661%,55520,1.606%
151,Tsareena,0.13581%,13117,0.294%,9709,0.281%
152,Tyrantrum,0.13533%,14424,0.323%,10201,0.295%
153,Sceptile-Mega,0.13507%,39934,0.895%,28876,0.835%
154,Nihilego,0.13394%,40034,0.897%,30372,0.879%
155,Banette-Mega,0.13166%,18318,0.410%,13840,0.400%
156,Camerupt-Mega,0.13035%,20796,0.466%,16550,0.479%
157,Rotom-Heat,0.12996%,31166,0.698%,25417,0.735%
158,Infernape,0.12755%,104624,2.344%,80208,2.321%
159,Necrozma,0.12456%,14144,0.317%,10589,0.306%
160,Xatu,0.12116%,17884,0.401%,14387,0.416%
161,Ursaring,0.11943%,8135,0.182%,5984,0.173%
162,Raikou,0.11462%,12907,0.289%,9685,0.280%
163,Mimikyu-Totem,0.10960%,1005,0.023%,651,0.019%
164,Golem-Alola,0.10720%,14588,0.327%,11015,0.319%
165,Lanturn,0.10690%,8881,0.199%,6831,0.198%
166,Slurpuff,0.10470%,27216,0.610%,19775,0.572%
167,Kabutops,0.10017%,11059,0.248%,7935,0.230%
168,Milotic,0.09233%,51324,1.150%,38588,1.116%
169,Absol-Mega,0.09173%,25042,0.561%,19847,0.574%
170,Darmanitan,0.09034%,43466,0.974%,33162,0.959%
171,Swalot,0.08961%,1547,0.035%,1150,0.033%
172,Minior,0.08508%,19544,0.438%,13878,0.402%
173,Roserade,0.08484%,27464,0.615%,20602,0.596%
174,Ninetales,0.08454%,26552,0.595%,21236,0.614%
175,Gigalith,0.08371%,11964,0.268%,10120,0.293%
176,Pidgeot-Mega,0.08132%,26795,0.600%,20158,0.583%
177,Salazzle,0.07998%,41078,0.920%,30622,0.886%
178,Blastoise-Mega,0.07992%,29993,0.672%,23209,0.671%
179,Linoone,0.07864%,32147,0.720%,23452,0.679%
180,Empoleon,0.07608%,39977,0.896%,31990,0.926%
181,Whimsicott,0.07424%,30653,0.687%,23626,0.684%
182,Ampharos-Mega,0.07213%,15310,0.343%,11058,0.320%
183,Lucario,0.07084%,46648,1.045%,33383,0.966%
184,Probopass,0.07031%,3178,0.071%,2478,0.072%
185,Rhyperior,0.07009%,19770,0.443%,15316,0.443%
186,Galvantula,0.06818%,58681,1.315%,51097,1.478%
187,Aggron,0.06745%,11883,0.266%,9419,0.273%
188,Slowking,0.06455%,10432,0.234%,8070,0.233%
189,Arcanine,0.06264%,54951,1.231%,41819,1.210%
190,Houndoom-Mega,0.06260%,21480,0.481%,15366,0.445%
191,Tornadus,0.05919%,6431,0.144%,4821,0.139%
192,Crobat,0.05572%,42867,0.960%,32337,0.936%
193,Audino-Mega,0.05403%,6471,0.145%,4678,0.135%
194,Hoopa,0.05321%,4017,0.090%,2862,0.083%
195,Vaporeon,0.05296%,24047,0.539%,18185,0.526%
196,Feraligatr,0.05221%,29500,0.661%,21365,0.618%
197,Noivern,0.05104%,21410,0.480%,15889,0.460%
198,Metagross,0.04990%,53898,1.207%,41164,1.191%
199,Umbreon,0.04797%,59433,1.331%,41861,1.211%
200,Steelix-Mega,0.04693%,13884,0.311%,11011,0.319%
201,Heracross,0.04597%,18927,0.424%,13114,0.379%
202,Exeggutor-Alola,0.04577%,8051,0.180%,5903,0.171%
203,Castform,0.04419%,1291,0.029%,987,0.029%
204,Victreebel,0.04396%,10527,0.236%,7497,0.217%
205,Cofagrigus,0.04114%,27033,0.606%,21145,0.612%
206,Lycanroc-Dusk,0.04059%,22075,0.495%,16227,0.469%
207,Nidoqueen,0.04055%,10634,0.238%,8513,0.246%
208,Goodra,0.04026%,56731,1.271%,42657,1.234%
209,Incineroar,0.03577%,43348,0.971%,34595,1.001%
210,Sigilyph,0.03570%,16124,0.361%,11051,0.320%
211,Smeargle,0.03474%,27627,0.619%,24669,0.714%
212,Gorebyss,0.03420%,2019,0.045%,1354,0.039%
213,Cradily,0.03325%,11987,0.269%,8941,0.259%
214,Zoroark,0.03309%,25084,0.562%,11831,0.342%
215,Virizion,0.03308%,4427,0.099%,3324,0.096%
216,Forretress,0.03287%,37642,0.843%,32963,0.954%
217,Lycanroc,0.03202%,8928,0.200%,6708,0.194%
218,Honchkrow,0.03174%,16168,0.362%,11572,0.335%
219,Diancie,0.03123%,7194,0.161%,5706,0.165%
220,Natu,0.02954%,588,0.013%,508,0.015%
221,Pikachu,0.02883%,19248,0.431%,14060,0.407%
222,Chandelure,0.02815%,53112,1.190%,39028,1.129%
223,Guzzlord,0.02806%,5127,0.115%,3735,0.108%
224,Druddigon,0.02796%,10619,0.238%,9316,0.270%
225,Ludicolo,0.02733%,20267,0.454%,14969,0.433%
226,Electrode,0.02674%,6913,0.155%,5967,0.173%
227,Rotom-Mow,0.02662%,6612,0.148%,5110,0.148%
228,Entei,0.02652%,15552,0.348%,11895,0.344%
229,Rampardos,0.02454%,8920,0.200%,6111,0.177%
230,Golisopod,0.02439%,22179,0.497%,16957,0.491%
231,Barbaracle,0.02330%,5518,0.124%,3772,0.109%
232,Registeel,0.02218%,9631,0.216%,7876,0.228%
233,Slaking,0.02215%,12136,0.272%,9167,0.265%
